"","monocyte","cd4_positive_alpha_beta_t_cell","cd8_positive_alpha_beta_t_cell","b_cell","conventional_dendritic_cell","natural_killer_cell","plasmacytoid_dendritic_cell","platelet"
"sample67",0.0393492401636924,0.584338868133615,0.321338996245212,0.00318334416538119,0,0.0272577233815204,0.0202203956628753,0.00431143224770354
"sample68",0.174355854290325,0.175689325338089,0.474813389943618,0.0045994555650695,0.0176932061693839,0.0621013274287444,0,0.0907474412647696
"sample69",0.102668209264649,0.113594249563758,0.597094983734075,0.00200668057927037,0.168339804036803,0.000154108378123658,0,0.0161419644433219
"sample70",0.0249305536242385,0,0.296037631437792,0.0014731171829392,0.481429569172977,0.00284418420319867,0.170444432512049,0.0228405118668057
"sample71",0.206980476403279,0.0669349820581252,0.498555451530051,0.00866371277823556,0.014325578634348,0.195296436454429,0,0.00924336214153249
"sample72",0.618127669744415,0,0.0549359279591173,0.0028902791307773,0.0840774219585456,0.0730717829626836,0.059404487530618,0.107492430713843
"sample73",0.00449425803509313,0.228060558869987,0.235727620846124,0.130591004692758,0.000169657073550255,0.116495128394422,0.279017159326968,0.0054446127610966
"sample74",0.127142079560914,0,0.281430896867677,0.0116770661485293,0.0645728550148676,0.0549695439829929,0.414136149064313,0.0460714093607056
"sample75",0.293146544429862,0.0819506109798208,0.418331242514547,0.00216647006160062,0.0957632782284353,0.02221522725916,0.0252053950095348,0.0612212315170386
"sample76",0.0543032096190806,0.0593259733368037,0.413810619307606,0.000947392545133671,0.188000546322207,0.247690787895783,0,0.0359214709733868
"sample77",0.436834054043952,0,0.298460510886616,0.00171389286493164,0.138512187702293,0.0840114719578012,0.0208023263447674,0.0196655561996394
"sample78",0.209722019552867,0,0.573176846947459,0.00383917391711908,0,0.0408207380662681,0.0594887561030583,0.112952465413228
"sample79",0.00151398695707777,0.237814648650861,0.256035896356717,0.476429677902537,0,0.0279806838712011,0,0.000225106261606678
"sample80",0.00123900516605078,0.0770679289991893,0.584526115128778,0.121545034631254,0,0.13983003742033,0.073556879451349,0.00223499920304955
"sample81",0.0197138255035408,0.373812721205365,0,0,0,0.599589676830179,0,0.00688377646091539
"sample82",0.0677663126879387,0.454243404658132,0.366432662579669,0.00309157145496945,0,0.0172234537532372,0.0623438690041771,0.0288987258618767
"sample83",0.210277445897805,0,0.230431324877586,0.015824143186523,0.276376116220529,0.0741010596128054,0.169436900301844,0.0235530099029071
"sample84",0.0639699240596755,0.00337113046771416,0.355499908406953,0,0,0.536997389192011,0,0.0401616478736467
"sample85",0.238827383843427,0.0431645855902939,0.648059099537566,0.0024485326246207,0.0380511300167336,0.00702757514007778,0.00791414109522318,0.0145075521520584
"sample86",0,0.48153639752538,0.506315709393451,0.00192186932415227,0,0,0.0102260237570171,0
"sample87",0.0057220798745484,0.0949159747449105,0.540574556663632,0.159254501517048,0,0.0220508120641401,0.174138871917099,0.00334320321862253
"sample88",0.104218010689138,0.00237725989218629,0.622946064630568,0.00143823584043893,0.0282799058047697,0.184974978206966,0,0.0557655449359326
"sample89",0,0.480890542460982,0.488126818601465,0.0101333119260349,0,0.0208493270115184,0,0
"sample90",0.137151130146905,0.00662282567416059,0.488587811855392,0.189855954016204,0,0.102801020651356,0,0.0749812576559825
"sample91",0.194310823909481,0.0148731184599251,0.652559773981767,0.0798425605013744,0.0111438052183153,0.000666797720667756,0.0090384359872611,0.0375646842212078
"sample92",0.157085888688349,0,0.314972277183429,0.159724832202573,0,0.353646812280357,0,0.0145701896452916
"sample93",0.0478860817673061,0.383362676503419,0.468536583385602,0.0115081454300379,0.0718394271037934,0.00250174792781195,0.00727810405924737,0.00708723382278174
"sample94",0.0212701037341824,0.268057626525259,0.564580757427725,0.00481717468257222,0.12290844110312,0.00585765531854168,0.00346145441389863,0.00904678679470118
"sample95",0.130455578672259,0,0.68494513568652,8.94032987109715e-05,0.131486747605869,0.0361075725009102,0,0.0169155622357306
"sample96",0.0177388038324482,0.310939394633632,0.198163932250122,0.0332427980435241,0.0141751158859196,0.354788618231726,0.0614578248795308,0.0094935122430981
"sample97",0.0291369399448245,0.144637390196344,0.72339597576774,0.00402533870406353,0,0.0371882487583471,0.0526113395883775,0.00900476704030303
"sample98",0.180453485031079,0,0.268426002504812,0.00285298414648841,0.17784617758639,0.173618654652419,0.0858721391737048,0.110930556905107
"sample99",0,0.00576271973819444,0.453861676438744,0.232898212911263,0.234429927108129,0,0.0654667000459007,0.00758076375776821
"sample100",0.175536357038919,0,0.185892029819745,0,0,0.545385216239267,0,0.0931863969020684
"sample101",0.14953196988281,0,0.403294390451198,0.31479709234617,0.0101440224300077,0.0228378363013591,0,0.0993946885884545
"sample102",0.053517267531269,0,0.36628596683403,0.560846352660859,0.0120558524338691,0,0,0.00729456053997283
"sample103",0.275845800557318,0,0.195869350994263,0.118812994308442,0.0600534830010637,0.105278088014049,0.103709956792089,0.140430326332775
"sample104",0.227607181026477,0.0655570787433243,0.275036501959871,0.0108682360018813,0.00283598396410684,0.263028685768869,0.14131395196496,0.01375238057051
"sample105",0.0575260560036019,0,0.686522306323834,0.131466124536308,0.0737488738205861,0,0.00705750426207063,0.043679135053599
"sample106",0.469956780808573,0.0698919777896727,0.362120228680871,0.00591574721118667,0,0.0766459433118331,0.000113669005970202,0.0153556531918935
"sample107",0.079438231187402,0.252258963143926,0.51514250046131,0.00917156123479498,0.120930277346041,0.00605895470778498,0.00329735018251146,0.0137021617362296
"sample108",0.0867006437705533,0.0212565775266569,0.611816901380143,0.00535674532873446,0.125080848057792,0.061188961178366,0.04631575229155,0.0422835704662047
"sample109",0.0374199784583464,0.203148654389545,0.492205837169739,0.249402645733919,0,0.00902142363191458,0.00544415848054093,0.0033573021359951
"sample110",0.0797631895819877,0,0.630121651264874,0.046847935469353,0.188531288458778,0.00603252194741232,0.00808956777496572,0.0406138455026289
"sample111",0.213202078886923,0,0.258848902167781,0.00648733746019186,0.186542238390622,0.217755694182394,0.0622482701400126,0.0549154787720752
"sample112",0.219014992548931,0.0702456417431346,0.270704441535839,0.00721726941274981,0.128991297925011,0.0992510258347062,0.0709815757495388,0.13359375525009
"sample113",0.0583058315275583,0.195886588847101,0.169597116379538,0.00996929917156703,0.00041156946813123,0.24128344135567,0.300491984130524,0.0240541691199095
"sample114",0.148548156347847,0.202191437145656,0.20857224373055,0.00541231637525079,0,0.424802286888115,0,0.010473559512582
"sample115",0.117618720693987,0.0404533529043324,0.442804928397736,0.00646371434376336,0.0477548574349841,0.249872791920967,0.0624187020367682,0.0326129322674614
"sample116",0,0.676858309792598,0.275624892091356,0.0151148108941787,0,0.0324019872218672,0,0
"sample117",0.294112204728857,0.0320263827038492,0.259339539630328,0.00272365803256766,0,0.296418573200526,0.0136578001162037,0.101721841587668
"sample118",0.0554236181987125,0.0990547272241243,0.771580520692561,0.00345025458788149,0,0.0285154078880002,0.0152875936396265,0.0266878777690944
"sample119",0.201460123562824,0,0.461730936362048,0.00614335132012818,0.159330383066426,0.0230125302151145,0.0419698254790206,0.106352849994439
"sample120",0.00712903648505618,0.087809375112763,0.386666772949584,0.177359516397497,0,0.211646123865768,0.120181478458465,0.00920769673086837
"sample121",0.0213296433513613,0.168395169369231,0.363199184903001,0.133954712084232,0,0.304697967620636,0.00010711482177677,0.00831620784976242
"sample122",0.183506464626235,0,0.332311501620938,0.00653134733415378,0.141103832884804,0.103262244674863,0.118137576998192,0.115147031860814
"sample123",0.102876393471819,0,0.447808441174006,0.00312665099428188,0.292409896439607,0.0362450200737483,0.0509643486496061,0.0665692491969308
"sample124",0.279273294305282,0.152760817189314,0.300504509157202,0.0043654474012078,0.0208350394980888,0.226563703903065,0.000410234396767581,0.0152869541490738
"sample125",0.0524436195892495,0.0335141616809464,0.588202985444567,0.00907795835078133,0.00679193018953599,0.156642154742962,0.125521861724591,0.0278053282773658
"sample126",0.233765110405126,0.0362853455649683,0.220496269752731,0.00280929388644413,0,0.355764470920872,0,0.150879509469859
"sample127",0.00650958249077521,0.273108092707252,0.692979908363544,0.00261993730638295,0.00775411114416741,0.0131474225694321,0.00227851226347554,0.00160243315497106
"sample128",0.140678701969188,0,0.214619916427747,0.103775637481411,0.0772933528030647,0.0991379807202075,0.350758099028207,0.0137363115701749
"sample129",0.00020068563228768,0.318359049099716,0.416718455014717,0.109937547256508,0,0.154169429805362,0,0.000614833191410164
"sample130",0.0888382040896519,0,0.572701790368149,0.00426735307040898,0.273255605595878,0,0.0114288558174292,0.0495081910584833
"sample131",0.00397233507226959,0.817717040231891,0.0842295203578084,0.00265422608252606,0.00807147291173654,0.0183928437371959,0.059084203471033,0.0058783581355394
"sample132",0.302730742658559,0.115714481198741,0.376323332217647,0.00273873940930958,0.0508247893922491,0.0431879858184615,0,0.108479929305033
"sample133",0.133169536750156,0,0.27461458404998,0.00299648123004003,0.077139469492234,0.39338898748295,0.0487325835500164,0.0699583574446237
"sample134",0.330750685652927,0,0.122644847310741,0.00776720550391635,0.136986253339522,0.132294549361535,0.0714806883197503,0.198075770511608
"sample135",0.00655170769240614,0.414138683603011,0.104609803010133,0,0,0.469623239432214,0,0.00507656626223515
"sample136",0.111285480116447,0.525106672225667,0.319916585135106,0.00914062339308753,0.00330976736465696,0.019327914932968,0,0.011912956832068
"sample137",0,0.0436598582799622,0.466544887496333,0.0694764221292423,0.346348502792137,0,0.0639190974485357,0.0100512318537896
"sample138",0.00486717223191724,0.237609731250722,0.243880247129324,0.100394942215509,0,0.377748939953507,0.0342960628194863,0.00120290439953467
"sample139",0.000647281250466888,0.557717995216297,0.19931415877336,0.0724040097657626,0,0.169693837113709,0,0.000222717880405061
"sample140",0.351793975142473,0.0530589762846313,0.407902074357683,0.0071974036897359,0.0593672573993262,0.10567834336532,0,0.0150019697608299
"sample141",0,0.000384053850247849,0.568962816236819,0.290068079632191,0.137500536569047,0,0.00106238378051875,0.00202212993117577
"sample142",0.0161506610197296,0.20195370778678,0.184905158287021,0.0123371354335743,0,0.21608620553027,0.358124726458004,0.0104424054846217
"sample143",0.0685941857630225,0.532540352045128,0.0739249891298911,0.00429593877725826,0,0.315127775032675,0.000254464016087471,0.00526229523593713
"sample144",0.0156628511395719,0.134619246160281,0.483095321874446,0.003735638869097,0.0740141805641991,0.198111285896568,0.0731968718410729,0.0175646036547635
"sample145",0.0587724302300438,0.0470726515733739,0.539859327288066,0,0.000645748316293755,0.311709794963499,0,0.0419400476287236
"sample146",0.666749432746669,0,0.0467095797405463,0.0131241280582885,0,0.059711364657933,0.0453003554061729,0.168405139390391
"sample147",0.00938861832325241,0,0.482334501692822,0.0834460273893558,0.182943208371268,0.0538126098248806,0.170405794555663,0.0176692398427588
"sample148",0.280697034121361,0,0.204710419146727,0.115468444958154,0.159589225461574,0.0506712055499529,0.0799123882075726,0.108951282554659
"sample149",0.178344733660965,0.00386351470768792,0.353671403947896,0,0,0.372370960197439,0,0.0917493874860125
"sample150",0,0.637530153878895,0.146812181341271,0.184913430913828,0,0,0.0305919601578574,0.000152273708149401
"sample151",0.0143490248121291,0,0.413857234142454,0.135552024677018,0.32346757310821,0.0977811965914058,0.00104614971400818,0.0139467969547748
"sample152",0.0239597381456065,0.324576138644336,0.455723781418497,0,0.166811698398978,0.000442113276919108,0.0171692450146513,0.0113172851010123
"sample153",0.0200302102065525,0.00289187308206872,0.70251255177876,0.0609420972376211,0.153335577785789,0.0512267356755153,0.00228621860250303,0.00677473563119046
"sample154",0.010525297551663,0.275831884375836,0.326975106568067,0.00596121244237926,0.000480052294848607,0.360980923101511,0.00461173439050025,0.0146337892751955
"sample155",0.151432469794294,0,0.574562469538505,0.1545239805859,0.0172910269375221,0.00338581151659373,0.000483092931761806,0.0983211486954235
"sample156",0.00948729792460704,0.266934715834364,0.633122008377541,0.00400900430056983,0,0.0202528384002558,0.0611776609372599,0.00501647422540197
"sample157",0.202581968650567,0.0881273719935722,0.593216042173355,0.0588129569011891,0,0.00216796344235309,0,0.0550936968389631
"sample158",0.392052111225806,0,0.193035619556326,0.0137389679443907,0.0724448166234683,0.0496596032915256,0.187654840008224,0.0914140413502594
"sample159",0.194916303564266,0,0.551279803743417,0.0692241040467251,0.0338386549490838,0.00759054986014921,0.0262603246367258,0.116890259199633
"sample160",0.424278563489303,0,0.182638759140532,0.0479625957505177,0.153354141785744,0.0517301530453022,0.00618836188699669,0.133847424901605
"sample161",0.0593114222043735,0.0909531090152734,0.319702237330947,0.0145039938426151,0.0166141977763867,0.182628522183338,0.309677330573135,0.00660918707393116
"sample162",0,0.557790712363515,0.347690575764602,0.00374843974867136,0,0.0906348579824575,0,0.000135414140754477
"sample163",0.0652493764758682,0,0.577444597196443,0.0988391457217945,0.21430714255052,0.00263742619650684,0.00244256320703343,0.0390797486518346
"sample164",0.103603657037385,0,0.639439620124237,0.00695482321904099,0.0351936565349652,0.100984310831049,0.070016798816792,0.0438071334365296
"sample165",0.383120552515527,0,0.166418248175349,0.00255891853939482,0,0.270082125230673,0.0305383103350294,0.147281845204028
"sample166",0.178913592586918,0.0142195282731246,0.601769043761328,0.0241616021970134,0,0.0709937527103694,0,0.109942480471247
"sample167",0.142947148495792,0.174980875450063,0.502965589609441,0.00106082484278219,0.0199130830476103,0.104623604132613,0,0.0535088744216993
"sample168",0.159377847871711,0,0.234812807063471,0.00533200098208156,0.122410561085618,0.0546741040919965,0.339162968647376,0.0842297102577454
"sample169",0,0.511199619746325,0.224484011975902,0.168675989286829,0,0.0956403789909434,0,0
"sample170",0.00632778085477165,0.588659787993349,0.403020979678531,0.00115934259119113,0,0.000824777395515831,0,7.33148664059839e-06
"sample171",0.120792415044064,0.155742342532977,0.548577428023907,0.00403318621410833,0.00167316559258118,0.116818777623907,0,0.0523626849684549
"sample172",0.103711120848975,0.193337209832732,0.581481453136595,0.0414371182236796,0,0.0282852831977343,0.00192576195773409,0.0498220528025501
"sample173",0.013754318968676,0.163979979913737,0.710841426478623,0.064172715229963,0.0425434923269577,0,0.00422833704521656,0.000479730036827543
"sample174",0.0120243356455528,0.146531120228546,0.330290052878263,0.0198337583133277,0.137229412633345,0,0.341345226653939,0.0127460936470263
"sample175",0.172405313000765,0,0.399289768670304,0.0158329079087208,0.350700704980883,0.000892451288621495,0.00420361231079756,0.056675241839908
"sample176",0.192114357704768,0.191774124957942,0.427290029361606,0.0114623254431556,0,0.123969146691416,0,0.0533900158411125
"sample177",0.133035748557427,0.240149112913447,0.208362944723758,0.00237450127545839,0.0653291511405442,0.337834748133321,0.000373628598078999,0.0125401646579655
"sample178",0,0.776015462456392,0.0304987400267887,0.00237047025679035,0,0.191115327260029,0,0
"sample179",0.0649025368807462,0,0.416609843679445,0.438809116816205,0,0.0579848748704068,0.0190948236686307,0.00259880408456578
"sample180",0.0689055094721925,0.00386845885177368,0.405248930789661,0.0120766735377411,0.00533306902933428,0.0781169689440389,0.388402746137574,0.038047643237685
"sample181",0.0866431324459474,0.284141587035799,0.123266344786596,0.00948766511934059,0,0.439928174157422,0.0482224487308831,0.00831064772401232
"sample182",0.00487393277792296,0.0863208564905322,0.692364452357932,0.117654714251779,0.070283288585426,0,0.0253738637123069,0.0031288918241006
"sample183",0.181837079693808,0,0.474827917624158,0.0295500041000163,0.117802907201407,0.00850588963786022,0.0918362303108382,0.0956399714319125
"sample184",0.27409095619251,0.00150767360025775,0.348317135899489,0.0294854002280434,0.0404412543497316,0.0451145827067096,0.141302687905175,0.119740309118083
"sample185",0.0719648170580036,0,0.325300879866861,0.0696451986794805,0.0585218989533706,0.0350749296663703,0.410039193569944,0.02945308220597
"sample186",0.0187488665212886,0.294678556498916,0.589022266399389,0.0195472682535836,0,0.0721393232673325,0,0.00586371905949054
"sample187",0.0919135218483179,0.0458780069170528,0.71606165325608,0.00420506764642738,0.00137750261058894,0.0570333483620889,0.0374299956898008,0.0461009036696433
"sample188",0.35922165653167,0,0.220632809301076,0.0184381226647844,0.263433929492253,0.0795491843549354,0.00383289406966792,0.0548914035856131
"sample189",0.039960476807484,0.117562775984447,0.468912773364236,0.00295095763267819,0.0814568622670309,0.207793114842776,0.0700310431510992,0.0113319959502491
"sample190",0.0980791726878268,0.00304064025253535,0.651016817738818,0.192232173698318,0.0224360619783229,0.0210704780924871,0,0.0121246555516922
"sample191",0.30475172788473,0.0209480604190691,0.405081984646731,0.00346982726287763,0,0.161544861636333,0,0.104203538150259
"sample192",0,0.151795633801132,0.391421038814508,0.40220152279756,0,0.0544749821985709,0,0.000106822388229123
"sample193",0.00609589855377068,0.330489585245921,0.48098745581973,0.0819359647682496,0,0.0985029708206468,0.000154996403209676,0.00183312838847197
"sample194",0.146635749058757,0.234916396991273,0.415125557360109,0.0248204330313804,0,0.0858962192470422,0,0.0926056443114387
"sample195",0.0908487422984542,0,0.663207018539688,0.0492608328651294,0.00530830693288091,0.0215014518140607,0.119611141555526,0.0502625059942603
"sample196",0.0237047444752709,0,0.692516064490871,0.00793414019826551,0.16587971232015,0.0674998503259868,0.0264678548354805,0.0159976333539744
"sample197",0.0773598401264216,0.00859507652538716,0.491445063084065,0.00994048372233169,0.0698260842778563,0.187142628309356,0.12219404027621,0.0334967836783729
"sample198",0.227733566321966,0,0.567056734842558,0.0968757099997337,0.0478689275599414,0.0142161387157709,0,0.0462489225600302
"sample199",0.00541952638846645,0.130122974305271,0.661179704769063,0.0641689469752629,0.123729085882859,0.00616551368302838,0.00469416831167098,0.0045200796843789
"sample200",0.435994089608627,0,0.308438955707587,0.176074580467167,0,0.0631842657200498,0.00160037537469696,0.0147077331218732
"sample201",0.247873542506815,0,0.429390683694683,0.129905738968464,0.112602155165209,0.0246855230465641,0.00522254607554709,0.0503198105427182
"sample202",0.196663238442153,0,0.418427134286304,0.108142535506133,0,0.197555916991763,0.0676377047013618,0.0115734700722848
"sample203",0.149724718373934,5.87733503269953e-06,0.432266196500332,0.119757651509741,0.0471968213414297,0.155530606259382,0,0.0955181286801492
"sample204",0.310231418865186,0.0014657790605996,0.296370324670971,0.000190011050737363,0.347015693032998,0,0.00143010296624366,0.0432966703532658
"sample205",0.0921061224529498,0.189204274550846,0.246119710632621,0,0.000584900606368684,0.430120561704276,0,0.0418644300529388
"sample206",0.174265723755429,0,0.784302809595475,0.00101569328585183,0.0115241402653026,0.010850587804568,0,0.0180410452933735
"sample207",0.0188693281563911,0.436300422759291,0.362847885031936,0.00398855674592523,0.0103323285419348,0.111608106813059,0.0457061523569939,0.0103472195944684
"sample208",0.14000729969795,0,0.550790496969775,0.0048249415618954,0.0132842913174297,0.182511724368764,0.025751084987957,0.0828301610962286
"sample209",0.167154504253672,0,0.148499546940214,0.0138592406984619,0.284043008041066,0.0592744644060469,0.217743533242886,0.109425702417653
