Mixture,monocyte,cd4_positive_alpha_beta_t_cell,cd8_positive_alpha_beta_t_cell,b_cell,conventional_dendritic_cell,natural_killer_cell,plasmacytoid_dendritic_cell,platelet,P-value,Correlation,RMSE
sample39,0.0412226076594313,0.268927555596262,0,0.636104448711316,0,0.000899507517898102,0.00691370486248839,0.0459321756526049,0,0.832990822457459,0.666472058787053
sample40,0.00519855872318172,0.498446508577135,0.459295804190137,0.00333505663862183,0,0.0323204956270525,0.00140357624387181,0,0,0.917597193557097,0.762731140843958
sample41,0.296467326748789,0.522475753732899,0.0421686811713951,0.0132972260351545,0.0051484771736232,0.109646386865549,0.0105770056528049,0.000219142619786099,0,0.744465543498357,0.726590346193478
sample42,0.471867452421677,0.0875220669946028,0,0.00180559565935579,0.348614673450204,0.00439365465563206,0.0787950324736882,0.00700152434483929,0,0.892004198697206,0.451972212081301
sample43,0.0325557480231863,0.334497437034199,0.141135455894435,0,0,0.135962511421461,0.320043532164701,0.0358053154620185,0,0.84171833040414,0.753714687299274
sample44,0.0121987627493452,0.746310593512244,0.0556067302882518,0.127261208185169,0,0.0378622836951366,0.00876308826557,0.011997333304284,0,0.91060990520904,0.757207607478677
sample45,0.0614170601608439,0.398097031385396,0.366527840168467,0.030017144593341,0.0431401084682952,0.0023302411012423,0.0104429431803786,0.0880276309420364,0,0.86782352022974,0.747146600827336
sample46,0.052608851140153,0.687422608994985,0,0.0988475746583699,0.139639974727913,0.00459359516657181,0.0166917910360078,0.000195604275999586,0,0.821098464212876,0.755931407515595
sample47,0.03465774540031,0.417916482501643,0.32740565167006,0,0.00244630522812217,0.18933140933026,0,0.0282424058696048,0,0.889654584500384,0.751790662136191
sample48,0.538836836300124,0.224437003439737,0,0.00309171685616869,0.144931849647241,0.00279554666661634,0.0608778331390542,0.0250292139510584,0,0.840834628770524,0.541502796803193
sample49,0.105744751240669,0.253521777745213,0,0.461838603708024,0.0697092885923456,0.0159117278358358,0.0625595984342484,0.0307142524436638,0,0.85406086841956,0.661766900407671
sample50,0.0528673560506299,0.786245453288764,0.0110356381156842,0.00364587635503774,0.0177341541845439,0.0625326986698806,0.0056838463836289,0.0602549769518311,0,0.899898198694801,0.748316806089426
sample51,0.00722354216264084,0.642604981487564,0.0902028102072019,0.0448840873056384,0.0547152254589435,0.103758926373371,0.0563876191205328,0.000222807884107319,0,0.88204198971927,0.765883408681208
sample52,0.00348126685804905,0.474208450192646,0.492257991268476,0.000960292143687937,0,0.00993105337520024,0.0191609461619408,0,0,0.913853578831654,0.765475378735277
sample53,0.0389039905283051,0.217080356586111,0.0816342014305999,0.000329259639307789,0.547308172687841,0.100466823590483,0.0142771955373517,0,0,0.788986064961932,0.645590771446938
sample54,0.00517495081649146,0.797504165325196,0.0021816753549691,0.00417775285688423,0,0.161856427642813,0.0199851607067068,0.00911986729693929,0,0.897697871171103,0.752734771602519
sample55,0.445759620414642,0.116752833725584,0,0,0.341513022661702,0.0101325127879862,0.0851229733895488,0.000719037020537988,0,0.886067269275813,0.46429868981103
sample56,0.660705322264316,0.123218484510849,0,0.00888105967727431,0.196762972890488,0.00279521440745543,0.0056000668140432,0.00203687943557316,0,0.948488600207233,0.321334791575165
sample57,0.0248914463122841,0.75332694807394,0.0220892614035886,0.00446566209258349,0,0.0973224753821791,0.0431303039299359,0.0547739028054886,0,0.898607655393686,0.755386437055036
sample58,0.00714295097689739,0.649395705185494,0.0827025237116189,0.224484337633328,0,0.0282942207723393,0.00787916479417595,0.000101096926146347,0,0.861344503836853,0.762024251068798
sample59,0.070755526867302,0.200309973524302,0.111164017921591,0.0260115229216599,0.0111347404611921,0.0673840687662031,0.443116333242643,0.0701238162951068,0,0.859280557310339,0.698100898126326
sample60,0.0406918568743921,0.707443867108828,0.0715073049318741,0.00012896834201765,0.0444292717351527,0.125892535604379,0.0086983058998247,0.00120788950353211,0,0.879177370496103,0.760988711195617
sample61,0.319339557919094,0.318336420866986,0,0.0144637045494681,0.220861710078204,0.00290620669148305,0.018481245525318,0.105611154369446,0,0.840891405516045,0.57817596373329
sample62,0.412180376688018,0.34821076797269,0.0899570968558581,0.120544962958315,0.0190165180555142,0.000400909028243566,0.0096579164126627,3.1452028698551e-05,0,0.729422006089159,0.697648144337923
sample63,0.538373643325439,0.249211721272092,0.00165304891832071,0.00802754681694712,0.04760141865642,0.0047022508223117,0.0384205045087182,0.112009865679751,0,0.865693165167043,0.508414075697136
sample64,0,0.0541394437704075,0,0.243395621551692,0.104633239092965,0.00100117478916453,0.588248642622438,0.00858187817333323,0,0.92151943723436,0.547713331913245
sample65,0.0668081231295223,0.457283570236071,0.0947911147785005,0.27056920684793,0,0.0983004839855955,0.012074160354411,0.000173340667969085,0,0.832144369068279,0.756759017408936
sample66,0.227857985057389,0.352616700247303,0,0.00342591906179864,0.0753945541996617,0.00238600669678585,0.319108702835207,0.0192101319018546,0,0.785375469924125,0.694342692650082
sample67,0.0858889353658685,0.678237662419409,0.191675665611334,0.0030346526966554,0,0.00231234544987429,0.0387476296041365,0.000103108852721639,0,0.884353302126769,0.761852922824014
sample68,0.0555155466296967,0.613998444406601,0.172082564381494,0.001350122048315,0.0440730044912016,0.0279716114822805,0.00653246182625129,0.0784762447341599,0,0.886662005098853,0.744166073292803
sample69,0.129900492329347,0.748814013823425,0,0.000750617769025815,0.104763478512896,0.00080052836538802,0.00903592787008477,0.00593494132983365,0,0.807967263832605,0.748031214779707
sample70,0.00298338264158964,0.0565995897159031,0,0,0.643396853756864,0.00870548524667474,0.284805605654387,0.00350908298458142,0,0.891576187199412,0.481347281317707
sample71,0.254718224578529,0.450404486352034,0.1220473545025,0.00920932949134418,0.000172103795236879,0.157839222163736,0.00560112114825785,8.15796836261378e-06,0,0.752549257208761,0.737640053624843
sample72,0.65363703164036,0.054689514664861,0,0,0.127919864323245,0.00508221132842267,0.0714293565963525,0.0872420214467586,0,0.888271584184975,0.466757287130761
sample73,0.0235452983897407,0.308644154418743,0.000346906439308855,0.119932812388784,0,0.0474396350264891,0.498888053853901,0.00120313948303308,0,0.860631651307718,0.68695867492155
sample74,0.0780709581992324,0.17484520860908,0.041265055031329,0.00153339226046768,0.0441139628395127,0.011066270984084,0.624786863744799,0.0243182883314956,0,0.87644582746352,0.635516168925384
sample75,0.318438053045247,0.498258487571358,0.0164364191179458,0.00177381737088318,0.0609746166996759,0.0067903632338665,0.0488346719440334,0.0484935710169897,0,0.797043059502091,0.668078130773778
sample76,0.0667224706440525,0.430286625810016,0.126471148804956,2.33881756850193e-05,0.120689124161695,0.219172106306547,0.00982661960843115,0.0268085164886184,0,0.806774215373883,0.751437576588936
sample77,0.682675912037902,0.0808893869828332,0.059162153186464,0.000313618109915999,0.0931268320846205,0.0285502137825706,0.0552818838156937,0,0,0.882410350580957,0.477433592113769
sample78,0.0658143684836582,0.273172186883555,0.441616231157219,0,0.0166154888900788,0.008316713805427,0.0987694876471491,0.0956955231329135,0,0.876856890252319,0.742459979397741
sample79,0.00734023051019332,0.222498832429802,0,0.715357261547356,0.0088579673805292,0.0303997129174966,0.0153430944606004,0.000202900754022873,0,0.82270532121086,0.655115552670302
sample80,0.00857267765886066,0.621678992721205,0,0.0882644892889132,0,0.111047960642975,0.169217145507617,0.0012187341804301,0,0.874302865083181,0.760895403635088
sample81,0.0397830458001115,0.329028966085043,0.1238297949106,0.00301462940234744,3.74397291361127e-05,0.49943688529319,0.00232723305659674,0.00254200572297506,0,0.845457543360904,0.667209588599045
sample82,0.0424924047795097,0.819175460758738,0,0.0042271987938845,0,0.00420950088892417,0.112094292593441,0.0178011421855025,0,0.910206108639516,0.760980010804067
sample83,0.289526762490974,0.0728879750495652,0,0,0.37890125156051,0.00345918862163015,0.252445424259758,0.00277939801756288,0,0.832422897598753,0.560014936987739
sample84,0.0317704535628026,0.295171775006748,0.181235068903631,0.00160206252167868,0.00823855632966969,0.454206305439659,0,0.0277757782358115,0,0.864804662650084,0.671315560707995
sample85,0.338772856296103,0.439278679364943,0.188087922625594,0.00319404533592807,0,0.00517111765026083,0.0254007513909351,9.46273362359342e-05,0,0.693571864213781,0.74869148983545
sample86,0.00950469524409109,0.346615826726587,0.60632962077303,0,0,0.00217896046096981,0.0353708967953213,0,0,0.91220811986372,0.769426050664501
sample87,0.0145531234119836,0.316652321867955,0.155904233135417,0.146879557860708,0.0241327052420302,0.000114449623012568,0.341233872038301,0.00052973682059346,0,0.849498538414385,0.727629961228807
sample88,0.0247793902216146,0.732265252920843,0.0267703401376739,0.000246391439609535,0.0113920187363363,0.155843244837167,0.00470522048938427,0.043998141217372,0,0.876585368042529,0.756810194973375
sample89,0.00329769498446887,0.515969649377816,0.415003538336299,0.0159141843776912,0,0.0396091610892376,0.0102036879819501,2.08385253724981e-06,0,0.910265500857051,0.766044879414496
sample90,0.0405655573314231,0.502965177679104,0,0.311492006694585,0,0.0690725581380233,0.00826241357916497,0.0676422865776998,0,0.849125736859661,0.735908363496823
sample91,0.196653210773053,0.346046713891309,0.291669231427192,0.116901439508685,0.000487032919337949,0.000464669259911265,0.0227894016244671,0.0249883005960447,0,0.794805272662217,0.74840990459547
sample92,0.228766892105524,0.340345726584578,0.0538380790583912,0.1248089042599,0.0381206760954446,0.186882403317104,0.0220879763061211,0.00514934227293778,0,0.755135786802009,0.731272595734423
sample93,0.102334915916038,0.822843072230267,0,0.0184166433166836,0.0347524387914947,0.00907552888163433,0.012024528102689,0.000552872761193181,0,0.854455038582292,0.757374632353136
sample94,0.0452089255357707,0.822448523481079,0,0.00912376909566243,0.0843626330922572,0.0230413372576418,0.0150883106448094,0.000726500892779371,0,0.873407252954139,0.759847881240957
sample95,0.149784312037634,0.515082836708144,0.218354231811787,0,0.0480596800193565,0.0504709317397882,0.0115741542755842,0.00667385340770598,0,0.833201736681774,0.745855792962822
sample96,0.0151930150027151,0.29075668870314,0.303649813668479,0.00473965549221647,0.0394470947551935,0.227411350893027,0.117436422136587,0.00136595934864237,0,0.839129692722683,0.761531456393631
sample97,0.0105553261094407,0.604945806290663,0.211946512564873,0.00466228291098642,0,0.0608715408275426,0.104962907792924,0.00205562350357027,0,0.904985902476033,0.768809907906281
sample98,0.0919492520043124,0.290333491556425,0.0240769506429133,0,0.196238933422851,0.130265193673509,0.157092263210431,0.110043915489558,0,0.796895558389831,0.698548961207568
sample99,0,0.0601783854504882,0.0115535404744381,0.421063923660276,0.358978656684251,0,0.148225493730546,0,0,0.845988861377416,0.592076817954164
sample100,0.0346737146640873,0.372600328833111,0.123658952515575,0.00424902960708,0.00652340362371743,0.373040828170037,0.00355405033517914,0.0816996922512133,0,0.79872496650807,0.722711229313202
sample101,0.086930792782901,0.152754788466791,0.0896205522907877,0.518071257361331,0.00605235715773963,0.0189744581897554,0.0148692895371088,0.112726504213585,0,0.828928098505291,0.671369505368267
sample102,0.037475893325576,0.0570941030994195,0,0.810789439920978,0.0819559447382894,0,0.00878698761500273,0.00389763130073399,0,0.868761927825723,0.572655042302888
sample103,0.223799501522011,0.214731984191036,0,0.141331909202573,0.0469329506149072,0.0318941488551345,0.190277422170911,0.151032083443428,0,0.827562210636405,0.641793954965426
sample104,0.335712708447694,0.22175855226836,0.0863874056566452,0.00603081239018632,0,0.121072006468401,0.226279241845966,0.00275927292274781,0,0.743188334939405,0.705152306915624
sample105,0.048897669436748,0.343787988036636,0.320560905139429,0.178139928372118,0.0440165273021146,0.00108051942549262,0.0214663085373606,0.0420501537501012,0,0.863472301151745,0.758113797937107
sample106,0.641944615300967,0.256706868999082,0.0883695230054941,0.00100650962196943,0,0.0051463863114254,0.00331281953701317,0.00351327722404903,0,0.886562395341904,0.463969981786451
sample107,0.136832531648949,0.740455354107046,0,0.0136976865216143,0.0817699950904284,0.0119719479576108,0.0151840843895443,8.84002848072914e-05,0,0.800215604702668,0.754166246775407
sample108,0.0416233721608287,0.689035191644187,0,0.00250741264701527,0.0643320001502916,0.0910479501744515,0.0881668215545193,0.0232872516687068,0,0.866741323530484,0.7644659166834
sample109,0.106236892451029,0.213336562893022,0.297305958367346,0.364139430054841,0,0.00310229030464819,0.0157273757678863,0.000151490161226796,0,0.799268338779144,0.74656775696852
sample110,0.0875443209655391,0.273770389202038,0.245399004577248,0.0796613518419356,0.253597568812665,0.00325709416476285,0.0189320521248492,0.0378382183109626,0,0.752050745805817,0.741794602135073
sample111,0.246720151911532,0.221308912191505,0.0627210280898656,0.00245285396259531,0.159747452975442,0.148910100496695,0.126739489456105,0.03140001091626,0,0.774961670588414,0.682105543992
sample112,0.0949887602330875,0.48523798414889,0,0.00950467866856612,0.143016578683614,0.0296875742922464,0.117379223058186,0.120185200915409,0,0.818740526988696,0.705171908435168
sample113,0.0206984225482309,0.245822561641526,0.11342488656796,0.00394757400338982,0,0.119975556608795,0.486225909453335,0.00990508917676303,0,0.845633820263375,0.716345798293458
sample114,0.205675504734624,0.405228066069779,0.105813379362534,0.00147894451579798,0,0.265280584239057,0.0165235210782094,0,0,0.75245254758738,0.743736622723153
sample115,0.108405388897965,0.559396329593638,0.000166996690060203,0.00266805507982725,0,0.190179687493953,0.120285766245827,0.0188977759987289,0,0.821361578383593,0.758386247102375
sample116,0.00596215496427955,0.73973644512407,0.205833164430509,0.0135651541953054,0,0.0312057753590485,0.00354380450543824,0.000153501421349368,0,0.929635566446488,0.754205880438897
sample117,0.171743028451161,0.373516583905024,0.0970480131634542,0,0.00741605712857151,0.224716554002033,0.0269298282316425,0.0986299351181144,0,0.784796881950008,0.725950698442919
sample118,0.0143649026564858,0.557924936596232,0.345249167375786,0.00156403423713229,0,0.031344749274505,0.0313292330165013,0.0182229768433568,0,0.934245136522586,0.759809365575559
sample119,0.103585277987597,0.289314130404562,0.229788476468368,0.0047212469108273,0.190203576853084,0.00443091856359723,0.0743218992895377,0.103634473522427,0,0.806105509911792,0.709214094330482
sample120,0.0162201320179368,0.352184682875312,0.031328082456353,0.16349917183846,0,0.169850271489603,0.264259454451702,0.00265820487063308,0,0.842490037452068,0.736274736252449
sample121,0.0327997767359178,0.435427154041741,0.0953602583818876,0.123929290615738,0.01554489190414,0.285514289023442,0.0113464451073384,7.78941897959096e-05,0,0.829498901911262,0.745614985366185
sample122,0.102090402158308,0.26297050356193,0.0955050770528004,0.00300161132030724,0.145250421978961,0.0755214194151435,0.209200061248736,0.106460503263814,0,0.810570596668133,0.702419063014622
sample123,0.0633155822828617,0.415579889885496,0.0165931850016633,0,0.286854235919284,0.052229979925018,0.106746847954449,0.0586802790312282,0,0.800648105203924,0.703144205006863
sample124,0.383527763258066,0.413281122760525,0.0640519356507228,0.00277868521089295,0.00547896450519935,0.124089846046513,0.00586100671079591,0.000930675857284321,0,0.747339997052341,0.692130774207169
