	b cell	cd4-positive, alpha-beta t cell	cd8-positive, alpha-beta t cell	conventional dendritic cell	monocyte	natural killer cell	plasmacytoid dendritic cell	platelet
62	0.12149942	0.14980516	0.08040225	0.11048472	0.15506193	0.14520158	0.15404698	0.08349801
63	0.17347565	0.12050473	0.08489327	0.042772673	0.115094855	0.23585232	0.07983768	0.14756873
64	0.17447002	0.19518156	0.14917994	0.087776184	0.12624314	0.12165292	0.028882414	0.11661378
65	0.025164738	0.118095905	0.22631554	0.14214668	0.2977025	0.10858304	0.07166782	0.010323705
66	0.16191845	0.1674973	0.17130254	0.2927476	0.04402101	0.033749033	0.06272845	0.06603566
67	0.051683296	0.1357896	0.31523648	0.09223759	0.06811105	0.05527272	0.17290957	0.10875963
68	0.19516197	0.09549825	0.18614583	0.10234297	0.17388535	0.14198191	0.07565528	0.029328454
69	0.18891762	0.22109288	0.035256747	0.14965749	0.19102454	0.009300631	0.12795612	0.076794006
70	0.03821391	0.109316625	0.10131065	0.11045637	0.06473636	0.2762481	0.25035	0.049368057
71	0.10886889	0.27349153	0.14208828	0.14175086	0.08764892	0.17267936	0.029661452	0.04381068
72	0.093186386	0.16759571	0.07676634	0.20631154	0.12566951	0.1845519	0.08044529	0.06547339
73	0.16560735	0.080859914	0.05752098	0.37424165	0.040369585	0.028129354	0.13635747	0.11691378
74	0.0840358	0.1546407	0.055448573	0.22428942	0.19388208	0.07308758	0.13371788	0.08089791
75	0.2581274	0.15937363	0.13501099	0.11305007	0.05517502	0.09672025	0.09889986	0.0836427
76	0.06177873	0.19030969	0.14177552	0.21373077	0.048587836	0.10534813	0.11006339	0.12840593
77	0.15616487	0.055654965	0.14138092	0.057588726	0.31583378	0.19568464	0.03888356	0.038808506
78	0.095094	0.02251599	0.23085827	0.15188287	0.13703884	0.08429913	0.12137841	0.15693253
79	0.2654806	0.123357534	0.05117675	0.08038278	0.07484489	0.2674022	0.053091116	0.08426411
80	0.26779416	0.11906925	0.07589034	0.1899903	0.069988154	0.047601767	0.1698911	0.059775077
81	0.2783587	0.12577157	0.16793874	0.023921568	0.07007964	0.17746119	0.053120628	0.10334795
82	0.058410686	0.14698869	0.087931775	0.05119743	0.06773136	0.2237316	0.32029217	0.043716308
83	0.15912448	0.05862604	0.07891407	0.13988101	0.21407019	0.029778901	0.22592711	0.09367825
84	0.02069217	0.062316544	0.15160304	0.41429898	0.023430608	0.08726176	0.1091077	0.13128911
85	0.084000595	0.062040556	0.15964423	0.199893	0.2875787	0.07965087	0.116875336	0.010316639
86	0.085762374	0.27475947	0.03885258	0.14093977	0.049769208	0.15147226	0.14179358	0.116650745
87	0.33076772	0.14195238	0.102845594	0.123997435	0.035801325	0.05550805	0.04898564	0.16014184
88	0.104209125	0.18625313	0.226387	0.09118056	0.11612888	0.078293964	0.17172207	0.02582529
89	0.19717856	0.16728109	0.1140196	0.21225587	0.08559748	0.108529665	0.08610181	0.029035872
90	0.20764671	0.11427492	0.13015203	0.11304394	0.14755653	0.062215433	0.18111272	0.043997668
91	0.13304786	0.15299352	0.03718746	0.10623999	0.12911305	0.1232929	0.26431078	0.053814374
92	0.018022347	0.11555543	0.11988576	0.12401718	0.14563635	0.0947012	0.27018243	0.11199932
93	0.14567669	0.0811777	0.060356133	0.17871778	0.18960407	0.23296978	0.087503694	0.023994116
94	0.27893025	0.017942663	0.28963375	0.19572225	0.023330867	0.03355983	0.024980512	0.13589986
95	0.10547979	0.16688044	0.065972745	0.104426496	0.09157661	0.106573194	0.254984	0.1041067
96	0.03642165	0.17876247	0.25337163	0.09796401	0.10302465	0.058512937	0.2028117	0.069131024
